iter	Logloss	Accuracy
849	0.1762583514	0.9577278732
850	0.1762010185	0.9577278732
851	0.1760994856	0.9577278732
852	0.1760579575	0.9577278732
853	0.1758273173	0.9577278732
854	0.1757873684	0.9577278732
855	0.1756238955	0.9577278732
856	0.1755822394	0.9577278732
857	0.1754472727	0.9577278732
858	0.1751456322	0.9577278732
859	0.1749543701	0.9577278732
860	0.1749256589	0.9577278732
861	0.174868173	0.9577278732
862	0.1748414253	0.9577278732
863	0.1746578378	0.9577278732
864	0.1745811406	0.9577278732
865	0.1745015507	0.9577278732
866	0.1744851111	0.9577278732
867	0.174253362	0.9577278732
868	0.1741884207	0.9577278732
869	0.1741687646	0.9577278732
870	0.1740538959	0.9577278732
871	0.1738131339	0.9577278732
872	0.1736965578	0.9577278732
873	0.1735673966	0.9577278732
874	0.1734499282	0.9577278732
875	0.1733516374	0.9577278732
876	0.1730973596	0.9577278732
